settore_merceologico;insegna;tipo_via;via;civico;zd;superficie_vendita;superficie_altri_usi;superficie_tabelle_speciali;superficie_totale;codice_via;accesso;isolato;ingresso;settore_prevalente
ALIMENTARE;NON SPECIFICATA;VIA;MARGHERA;51;7;42;124;0;166;6280;ACCESSO ESTERNO;213;NON SPECIFICATO;PASTICCERIA
ALIMENTARE;NON SPECIFICATA;VIA;MAR NERO;2;7;80;0;0;80;6415;NON SPECIFICATO;165;NON SPECIFICATO;PASTICCERIA
ALIMENTARE;NON SPECIFICATA;VIA;MAR NERO;6;7;22;0;0;22;6415;NON SPECIFICATO;165;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MAROCCO PIETRO;17;2;40;0;0;40;2265;ACCESSO ESTERNO;340;NON SPECIFICATO;PASTICCERIA
ALIMENTARE;NON SPECIFICATA;VIA;MAROCHETTI CARLO;19;4;20;15;0;35;4185;ACCESSO ESTERNO;069;NON SPECIFICATO;FORMAGGI E FATTORIE
ALIMENTARE;NON SPECIFICATA;VIA;MARONCELLI PIETRO;19;9;2;0;0;2;1113;NON SPECIFICATO;313;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MARONCELLI PIETRO;19;9;30;0;0;30;1113;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MARSALA;2;1;20;0;0;20;1035;ACCESSO ESTERNO;006;NON SPECIFICATO;PANETTERIA
ALIMENTARE;NON SPECIFICATA;VIA;MARTINETTI PIERO;31;7;50;13;0;63;6339;ACCESSO ESTERNO;189;NON SPECIFICATO;PANETTERIA
ALIMENTARE;NON SPECIFICATA;VIA;MARTIRI OSCURI;3;2;40;0;0;40;2291;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MASANIELLO;14;7;70;20;0;90;6768;ACCESSO ESTERNO;132;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MASOLINO DA PANICALE;2;8;5;0;0;5;7264;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MASOLINO DA PANICALE;4;8;20;0;0;20;7264;ACCESSO ESTERNO;301;NON SPECIFICATO;TORREFAZIONE
ALIMENTARE;NON SPECIFICATA;VIA;MASSARA DE CAPITANI;14;9;30;15;0;45;1261;ACCESSO ESTERNO;030;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MASSARA DE CAPITANI;5;9;35;15;0;50;1261;ACCESSO ESTERNO;035;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MAZZALI GUIDO;5;3;247;83;0;330;2088;ACCESSO INTERNO;054;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MAZZALI GUIDO;5;3;42;0;0;42;2088;ACCESSO ESTERNO;054;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MAZZALI GUIDO;5;3;15;55;0;70;2088;NON SPECIFICATO;054;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MECENATE;12;4;30;25;0;55;3323;ACCESSO ESTERNO;072;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MECENATE;12;4;29;0;0;29;3323;ACCESSO ESTERNO;072;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MECENATE;25;4;18;75;0;93;3323;NON SPECIFICATO;078;NON SPECIFICATO;DOLCIUMI
ALIMENTARE;NON SPECIFICATA;VIA;MECENATE;2;4;20;20;0;40;3323;ACCESSO ESTERNO;072;NON SPECIFICATO;PANETTERIA
ALIMENTARE;NON SPECIFICATA;VIA;MECENATE;2;4;38;0;0;38;3323;NON SPECIFICATO;072;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MECENATE;2;4;42;0;0;42;3323;NON SPECIFICATO;072;NON SPECIFICATO;PANETTERIA
ALIMENTARE;NON SPECIFICATA;VIA;MECENATE;4;4;50;0;0;50;3323;NON SPECIFICATO;072;NON SPECIFICATO;FARMACIA ED ERBORISTERIA
ALIMENTARE;NON SPECIFICATA;VIA;MEDA GIUSEPPE;14;5;36;35;0;71;5242;ACCESSO ESTERNO;160;NON SPECIFICATO;PASTICCERIA
ALIMENTARE;NON SPECIFICATA;VIA;MEDA GIUSEPPE;15;5;16;0;0;16;5242;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;VIA;MEDA GIUSEPPE;35;5;20;0;0;20;5242;ACCESSO ESTERNO;003;NON SPECIFICATO;FRUTTA VERDURA E FUNGHI
ALIMENTARE;NON SPECIFICATA;VIA;MEDA GIUSEPPE;37;5;20;15;0;35;5242;ACCESSO ESTERNO;003;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MEDA GIUSEPPE;37;5;19;0;0;19;5242;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MEDA GIUSEPPE;47;5;40;0;0;40;5242;ACCESSO ESTERNO;010;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;VIA;MEDA GIUSEPPE;57;5;2;0;0;2;5242;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MEDA GIUSEPPE;6;5;2;46;0;48;5242;ACCESSO ESTERNO;127;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MEDEGHINO;25;5;35;0;0;35;5335;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;VIA;MEDEGHINO;39;5;35;56;0;91;5335;NON SPECIFICATO;057;NON SPECIFICATO;PASTICCERIA
ALIMENTARE;NON SPECIFICATA;VIA;MEDEGHINO;39;5;17;0;0;17;5335;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MEDEGHINO;4;5;2;0;0;2;5335;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MELATO MARIA;10;8;41;40;0;81;7366;ACCESSO ESTERNO;355;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MELATO MARIA;10;8;60;0;0;60;7366;ACCESSO ESTERNO;355;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MELATO MARIA;8;8;3;42;0;45;7366;NON SPECIFICATO;355;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MELATO MARIA;S.N.C.;8;40;0;0;40;7366;ACCESSO ESTERNO;355;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MELZI D'ERIL FRANCESCO;3;1;35;145;0;180;7118;ACCESSO ESTERNO;135;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;VIA;MENABREA LUIGI FEDERICO;2;9;17;0;0;17;1322;ACCESSO ESTERNO;160;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;PLE;GORINI PAOLO;11;3;30;0;0;30;3170;ACCESSO INTERNO;NON SPECIFICATO;NON SPECIFICATO;POLLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MENOTTI CIRO;35;3;30;0;0;30;3184;NON SPECIFICATO;157;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MENOTTI CIRO;6;3;55;82;0;137;3184;ACCESSO ESTERNO;178;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;VIA;MERAVIGLI;16;1;35;0;0;35;614;ACCESSO ESTERNO;372;NON SPECIFICATO;DROGHERIA
ALIMENTARE;NON SPECIFICATA;VIA;MERCANTINI LUIGI;18;9;2;0;0;2;1247;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MERCANTINI LUIGI;5;9;20;11;0;31;1247;ACCESSO ESTERNO;030;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MERCATO;20;1;110;60;0;170;717;ACCESSO ESTERNO;306;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MERCATO;20;1;20;0;0;20;717;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MERLO CARLO GIUSEPPE;1;1;18;0;0;18;329;ACCESSO ESTERNO;320;NON SPECIFICATO;PANETTERIA
ALIMENTARE;NON SPECIFICATA;VIA;MESSINA;20;8;80;0;0;80;7211;NON SPECIFICATO;066;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MESSINA;5;8;60;0;0;60;7211;ACCESSO ESTERNO;074;NON SPECIFICATO;FARMACIA ED ERBORISTERIA
ALIMENTARE;NON SPECIFICATA;VIA;MICHELINO DA BESOZZO;8;8;25;9;0;34;7263;ACCESSO ESTERNO;299;NON SPECIFICATO;IN ATTESA DI REVOCA
ALIMENTARE;NON SPECIFICATA;VIA;MILLELIRE DOMENICO;10;7;90;0;0;90;6620;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;CARNI
ALIMENTARE;NON SPECIFICATA;VIA;MILLELIRE DOMENICO;11;7;30;3;0;33;6620;ACCESSO ESTERNO;189;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MILLELIRE DOMENICO;20;7;20;10;0;30;6620;NON SPECIFICATO;105;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MINCIO;12;4;55;0;0;55;4157;ACCESSO ESTERNO;116;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MODENA GUSTAVO;26;3;10;49;0;59;3122;ACCESSO ESTERNO;171;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MODICA;1;6;2;0;0;2;5306;NON SPECIFICATO;065;NON SPECIFICATO;OGGETTISTICA
ALIMENTARE;NON SPECIFICATA;VIA;MOLA PIER FRANCESCO;39;8;160;0;0;160;7391;ACCESSO ESTERNO;241;NON SPECIFICATO;BAR
ALIMENTARE;NON SPECIFICATA;VIA;MOLINO DELLE ARMI;31;1;17;110;0;127;591;ACCESSO ESTERNO;212;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;VIA;MONCALIERI;15;9;44;24;0;68;1095;ACCESSO INTERNO;128;NON SPECIFICATO;FRUTTA VERDURA E FUNGHI
ALIMENTARE;NON SPECIFICATA;VIA;MONCALIERI;15;9;24;26;0;50;1095;ACCESSO INTERNO;128;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MONCALIERI;15;9;39;0;0;39;1095;ACCESSO INTERNO;128;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONCALIERI;15;9;24;0;0;24;1095;ACCESSO INTERNO;128;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONCALIERI;15;9;41;15;0;56;1095;ACCESSO INTERNO;128;NON SPECIFICATO;PANETTERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONCALIERI;15;9;41;17;0;58;1095;ACCESSO INTERNO;128;NON SPECIFICATO;PANETTERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONCALIERI;15;9;25;29;0;54;1095;ACCESSO INTERNO;128;NON SPECIFICATO;PESCHERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONCALIERI;15;9;39;8;0;47;1095;ACCESSO INTERNO;128;NON SPECIFICATO;POLLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONCALIERI;15;9;39;38;0;77;1095;ACCESSO INTERNO;128;NON SPECIFICATO;SALUMERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONCALIERI;15;9;38;10;0;48;1095;ACCESSO INTERNO;128;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MONDOVI';4;2;21;20;0;41;2515;ACCESSO ESTERNO;232;NON SPECIFICATO;PANETTERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONFALCONE;27;3;78;4;0;82;2538;ACCESSO ESTERNO;041;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MONFALCONE;27;3;31;22;0;53;2538;ACCESSO ESTERNO;041;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;VIA;MONFALCONE;27;3;3;75;0;78;2538;NON SPECIFICATO;041;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MONFALCONE;32;3;9;106;0;115;2538;ACCESSO ESTERNO;045;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MONTEBELLO;25;1;37;0;0;37;1037;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;CIOCCOLATO TORTE DOLCIUMI E GELATO
ALIMENTARE;NON SPECIFICATA;VIA;MONTEBELLO;7;1;25;60;0;85;1037;ACCESSO ESTERNO;177;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;VIA;MONTECASSINO;9;4;54;0;0;54;3346;ACCESSO ESTERNO;126;NON SPECIFICATO;BAR
ALIMENTARE;NON SPECIFICATA;VIA;MONTEGANI LODOVICO;20;5;38;10;0;48;5330;ACCESSO ESTERNO;028;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONTEGANI LODOVICO;21;5;37;0;0;37;5330;ACCESSO ESTERNO;029;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONTEGANI LODOVICO;22;5;78;0;0;78;5330;ACCESSO ESTERNO;028;NON SPECIFICATO;ROSTICCERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONTEGANI LODOVICO;22;5;3;0;0;3;5330;NON SPECIFICATO;028;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MONTEGANI LODOVICO;33;5;21;0;0;21;5330;ACCESSO ESTERNO;036;NON SPECIFICATO;SALUMERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONTEGANI LODOVICO;33;5;26;0;0;26;5330;ACCESSO ESTERNO;036;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONTEGANI LODOVICO;33;5;18;0;0;18;5330;ACCESSO ESTERNO;036;NON SPECIFICATO;PESCHERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONTEGANI LODOVICO;33;5;45;0;0;45;5330;ACCESSO INTERNO;036;NON SPECIFICATO;FRUTTA VERDURA E FUNGHI
ALIMENTARE;NON SPECIFICATA;VIA;MONTEGANI LODOVICO;33;5;20;18;0;38;5330;ACCESSO INTERNO;036;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONTEGANI LODOVICO;33;5;38;13;0;51;5330;ACCESSO INTERNO;036;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONTEGANI LODOVICO;33;5;20;0;0;20;5330;ACCESSO INTERNO;036;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONTEGANI LODOVICO;33;5;51;0;0;51;5330;ACCESSO INTERNO;036;NON SPECIFICATO;ROSTICCERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONTEGANI LODOVICO;33;5;18;0;0;18;5330;ACCESSO ESTERNO;036;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MONTEGANI LODOVICO;6;5;32;0;0;32;5330;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PRODOTTI PER IGIENE PERSONA CASA
ALIMENTARE;NON SPECIFICATA;VIA;MONTEGANI LODOVICO;8;5;15;21;0;36;5330;NON SPECIFICATO;021;NON SPECIFICATO;TORREFAZIONE
ALIMENTARE;NON SPECIFICATA;VIA;MONTE PALOMBINO;4;4;25;50;0;75;4368;ACCESSO ESTERNO;086;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;VIA;MONTE POPERA;6;4;2;0;0;2;4365;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MONTEPULCIANO;2;3;19;0;0;19;2257;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONTEPULCIANO;8;3;21;7;0;28;2257;ACCESSO ESTERNO;005;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONTE SAN GABRIELE;1;2;40;12;0;52;2481;ACCESSO ESTERNO;147;NON SPECIFICATO;SALUMERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONTE SAN GABRIELE;1;2;42;0;0;42;2481;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;FRUTTA VERDURA E FUNGHI
ALIMENTARE;NON SPECIFICATA;VIA;MONTEVERDI CLAUDIO;15;3;22;0;0;22;2237;ACCESSO ESTERNO;018;NON SPECIFICATO;SALUMERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONTI PADRE PIER LUIGI;18;9;35;0;0;35;1530;ACCESSO ESTERNO;122;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MONTI VINCENZO;26;1;48;0;0;48;6155;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MONTI VINCENZO;26;1;64;0;0;64;6155;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PRODOTTI PER IGIENE PERSONA CASA
ALIMENTARE;NON SPECIFICATA;VIA;MONTI VINCENZO;33;1;76;0;0;76;6155;ACCESSO ESTERNO;231;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MONTI VINCENZO;47;1;83;98;0;181;6155;ACCESSO ESTERNO;073;NON SPECIFICATO;PASTICCERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONTI VINCENZO;51;1;0;0;0;0;6155;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ABBIGLIAMENTO
ALIMENTARE;NON SPECIFICATA;VIA;MONVISO;14;8;125;0;0;125;7212;ACCESSO ESTERNO;054;NON SPECIFICATO;PASTICCERIA
ALIMENTARE;NON SPECIFICATA;VIA;MONVISO;9;8;16;21;0;37;7212;ACCESSO ESTERNO;053;NON SPECIFICATO;PANETTERIA
ALIMENTARE;NON SPECIFICATA;VIA;MORA GIAN GIACOMO;4;1;16;0;0;16;594;NON SPECIFICATO;277;PTA TICINESE;GELATERIA
ALIMENTARE;NON SPECIFICATA;VIA;MORAZZONE;8;1;20;0;0;20;7131;ACCESSO ESTERNO;110;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MORGAGNI GIOVANNI BATTISTA;2;3;18;12;0;30;2158;ACCESSO ESTERNO;086;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MORGANTINI MARIO;11;7;45;100;0;145;6568;ACCESSO ESTERNO;280;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;VIA;MORGANTINI MARIO;1;7;20;10;0;30;6568;ACCESSO ESTERNO;283;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MORIGI;15;1;15;0;0;15;633;NON SPECIFICATO;451;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MORIMONDO;1;6;50;25;0;75;5291;NON SPECIFICATO;004;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MOROSINI EMILIO;19;4;0;0;0;0;3073;NON SPECIFICATO;057;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MOROSINI EMILIO;23;4;35;0;0;35;3073;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MOROZZO DELLA ROCCA;4;1;6;4;0;10;6215;ACCESSO ESTERNO;144;NON SPECIFICATO;DOLCIUMI
ALIMENTARE;NON SPECIFICATA;VIA;MOSSO ANGELO;2;2;45;0;0;45;2327;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ABBIGLIAMENTO
ALIMENTARE;NON SPECIFICATA;VIA;MURAT GIOACCHINO;69;9;50;10;0;60;1316;ACCESSO ESTERNO;009;NON SPECIFICATO;BAR
ALIMENTARE;NON SPECIFICATA;VIA;MURAT GIOACCHINO;73;2;8;10;0;18;1316;ACCESSO ESTERNO;009;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;MURATORI LODOVICO;10;4;40;0;0;40;4076;ACCESSO ESTERNO;035;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;MURATORI LODOVICO;3;4;50;15;0;65;4076;ACCESSO ESTERNO;164;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MURATORI LODOVICO;50;4;45;0;0;45;4076;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MUSSI GIUSEPPE;11;8;46;10;0;56;7199;ACCESSO ESTERNO;051;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;MUSSI GIUSEPPE;11;8;25;54;0;79;7199;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;NEERA ANNA;15;5;26;0;0;26;5326;ACCESSO INTERNO;034;NON SPECIFICATO;POLLERIA
ALIMENTARE;NON SPECIFICATA;VIA;NEERA ANNA;22;5;35;25;0;60;5326;NON SPECIFICATO;042;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;NEGRI GAETANO;10;1;43;40;0;83;623;ACCESSO ESTERNO;407;NON SPECIFICATO;PASTICCERIA
ALIMENTARE;NON SPECIFICATA;VIA;NEGROLI;23;4;42;0;0;42;3279;ACCESSO ESTERNO;246;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;VIA;NEGROLI;55;4;50;40;0;90;3279;ACCESSO ESTERNO;221;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;NEGROLI;9;4;58;0;0;58;3279;NON SPECIFICATO;257;NON SPECIFICATO;PASTICCERIA
ALIMENTARE;NON SPECIFICATA;VIA;NICCODEMI DARIO;6;8;31;8;0;39;7380;ACCESSO ESTERNO;271;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;NICOTERA GIOVANNI;10;9;84;42;42;168;1508;NON SPECIFICATO;181;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;NOVARA;105;7;36;0;0;36;6624;ACCESSO ESTERNO;038;NON SPECIFICATO;PANETTERIA
ALIMENTARE;NON SPECIFICATA;VIA;NOVARA;139;7;62;30;0;92;6624;ACCESSO ESTERNO;038;NON SPECIFICATO;BAR
ALIMENTARE;NON SPECIFICATA;VIA;NOVARA;139;7;19;13;0;32;6624;ACCESSO ESTERNO;038;NON SPECIFICATO;FRUTTA VERDURA E FUNGHI
ALIMENTARE;NON SPECIFICATA;VIA;NOVARA;141;7;77;0;0;77;6624;ACCESSO ESTERNO;036;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;NOVARA;145;7;60;0;0;60;6624;ACCESSO ESTERNO;036;NON SPECIFICATO;PANETTERIA
ALIMENTARE;NON SPECIFICATA;VIA;NOVARA;31;7;41;0;0;41;6624;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PRODOTTI PER IGIENE PERSONA CASA
ALIMENTARE;NON SPECIFICATA;VIA;NOVARA;40;7;33;20;0;53;6624;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;NOVARA;6;7;24;16;0;40;6624;ACCESSO ESTERNO;271;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;NOVARA;97;7;48;2;0;50;6624;ACCESSO ESTERNO;044;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;NOVARA;99;7;23;0;0;23;6624;ACCESSO ESTERNO;044;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;NOVARO MICHELE;1;9;28;20;0;48;1559;ACCESSO ESTERNO;089;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;NOVARO MICHELE;1;9;5;0;0;5;1559;NON SPECIFICATO;089;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;OLGETTINA;60;3;6;0;0;6;2530;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;OMBONI GIOVANNI;4;3;42;0;0;42;2151;ACCESSO ESTERNO;109;NON SPECIFICATO;PANETTERIA
ALIMENTARE;NON SPECIFICATA;VIA;OREFICI;24;1;5;0;0;5;547;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PASTICCERIA
ALIMENTARE;NON SPECIFICATA;VIA;ORISTANO;15;2;64;15;32;111;2461;ACCESSO ESTERNO;191;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;ORNATO LUIGI;14;9;19;9;0;28;1591;ACCESSO ESTERNO;070;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;ORNATO LUIGI;45;9;25;3;0;28;1591;ACCESSO ESTERNO;064;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;ORNATO LUIGI;53;9;18;0;0;18;1591;NON SPECIFICATO;064;NON SPECIFICATO;MACELLERIA
ALIMENTARE;NON SPECIFICATA;VIA;ORNATO LUIGI;55;9;40;0;0;40;1591;ACCESSO ESTERNO;064;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;VIA;ORNATO LUIGI;58;9;65;56;0;121;1591;ACCESSO ESTERNO;072;NON SPECIFICATO;SALUMERIA
ALIMENTARE;NON SPECIFICATA;VIA;ORNATO LUIGI;58;9;10;0;0;10;1591;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ENOTECA E BEVANDE
ALIMENTARE;NON SPECIFICATA;VIA;ORNATO LUIGI;84;9;30;0;0;30;1591;ACCESSO ESTERNO;015;NON SPECIFICATO;ALIMENTARI
