settore_merceologico;insegna;tipo_via;via;civico;zd;superficie_vendita;superficie_altri_usi;superficie_tabelle_speciali;superficie_totale;codice_via;accesso;isolato;ingresso;settore_prevalente
NON SPECIFICATO;NON SPECIFICATA;VIA;DEI TRANSITI;25;2;30;0;0;30;2284;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;COMMERCIO AL DETTAGLIO
NON SPECIFICATO;NON SPECIFICATA;VIA;DELLA CHIESA ROSSA;25;5;0;0;0;0;5321;NON SPECIFICATO;032;NON SPECIFICATO;FIORI E PIANTE
NON SPECIFICATO;NON SPECIFICATA;VIA;DELLA SPIGA;25;1;48;0;0;48;226;ACCESSO ESTERNO;273;NON SPECIFICATO;ABBIGLIAMENTO
NON SPECIFICATO;NON SPECIFICATA;VIA;DELLA SPIGA;6;1;0;0;0;0;226;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
NON SPECIFICATO;NON SPECIFICATA;VIA;DEL MELLA;5;7;0;0;0;0;6416;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
ALIMENTARE;NON SPECIFICATA;VIA;DUDOVICH MARCELLO;10;5;0;0;0;0;5437;NON SPECIFICATO;066;NON SPECIFICATO;ALIMENTARI
ALIMENTARE;NON SPECIFICATA;VIA;FABRIANO;2;9;0;0;0;0;1642;NON SPECIFICATO;161;NON SPECIFICATO;FRUTTA VERDURA E FUNGHI
NON SPECIFICATO;NON SPECIFICATA;VIA;FONTANA;20;1;176;0;0;176;3058;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
NON SPECIFICATO;NON SPECIFICATA;VIA;GALLARATE;400;8;0;0;0;0;7420;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
ALIMENTARE;NON SPECIFICATA;VIA;GIAMBELLINO;155;6;0;0;0;0;5136;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PANIFICIO
NON SPECIFICATO;NON SPECIFICATA;VIA;GOITO;9;1;164;0;0;164;1039;ACCESSO ESTERNO;249;NON SPECIFICATO;CASALINGHI
NON SPECIFICATO;NON SPECIFICATA;VIA;VODICE;1;7;0;0;0;0;6552;NON SPECIFICATO;255;NON SPECIFICATO;FIORI E PIANTE
ALIMENTARE;NON SPECIFICATA;VIA;GUIDO D'AREZZO;6;8;2;0;0;2;6189;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ALIMENTARI
NON SPECIFICATO;NON SPECIFICATA;VIA;IMBONATI CARLO;71;7;30;0;0;30;1311;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
ALIMENTARE;NON SPECIFICATA;VIA;INGANNI ANGELO;29;6;0;0;0;0;6672;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PANIFICIO
NON SPECIFICATO;NON SPECIFICATA;VIA;LAMBRATE;13;3;27;170;0;197;2421;ACCESSO ESTERNO;001;NON SPECIFICATO;ACCESSORI E RICAMBI AUTO MOTO
NON SPECIFICATO;NON SPECIFICATA;VIA;LARGA;12;1;0;0;0;0;318;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;COLTIVATORE DIRETTO
NON SPECIFICATO;NON SPECIFICATA;VIA;LEONCAVALLO RUGGERO;10;3;0;0;0;0;2389;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
NON SPECIFICATO;NON SPECIFICATA;VIA;LIVRAGHI GIOVANNI;14;2;0;0;0;0;2443;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
NON SPECIFICATO;NON SPECIFICATA;VIA;LODOVICO IL MORO;77;6;0;0;0;0;5290;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
ALIMENTARE;NON SPECIFICATA;VIA;LOMAZZO PAOLO;10;8;0;0;0;0;7079;NON SPECIFICATO;072;NON SPECIFICATO;FRUTTA VERDURA E FUNGHI
